Name,Code,Altitude,Easting,Northing,Subregion,Region
Agulleta d’en Pany,s/n,1.170,400992,4606411,Sant Jeroni,Sant Jeroni
Agulla Ajaguda,319,860,400355,4605294,Palomera,Sant Jeroni
Agulla Albert Zanini,s/n,891,399801,4605714,Faró,Sant Jeroni
Agulla Alta de la Coma dels Naps de Baixa,243,1.046,400181,4606307,Naps,Ecos
Agulla Alta de la Miranda  (Manolito García),74,1.060,398900,4607169,Bola,
Agulla Alta de Sant Joan,s/n,882,402857,4604981,Les Gorres,Magdalenes
Agulla Ausias March,s/n,839,402223,4603925,Sant Pere,Magdalenes
Agulla Baixa de Sant Joan,491,815,402909,4605050,Les Gorres,Magdalenes
Agulla Claudia,s/n,659,401245,4604773,Pollegons,Magdalenes
Agulla de Can Jorba,266,787,400152,4605197,Palomera,Sant Jeroni
Agulla de la Benedicció,s/n,846,399786,4605663,Faraó,
Agulla de la Boleta o la Desconeguda,122,1.037,399055,4607245,Centenar,Frares Encantats
Agulla de la Canal Plana,s/n,981,402438,4605757,Flautats,Sant Salvador
Agulla de la Carnavalada o dels Set,98 I 88,1.014,398751,4607091,Bola,
Agulla de la Corona de Reina,55,1.043,398796,4607130,Bola,
Agulla de la Creu,488,621,403512,4604954,Santa Cova,Magdalenes
Agulla de la Creu – cota 489,489,603,403512,4604965,Santa Cova,Magdalenes
Agulla de la Foradada o dels Apòstols,69,992,398958,4607378,Bola,
Agulla de la Mitra,560,996,402527,4605752,Flautats,Sant Salvador
Agulla de la Pastereta,s/n,810,401773,4604185,Sant Pere,Magdalenes
Agulla de la Plantació,452,957,401804,4604919,La Plantació,Magdalenes
Agulla de la Princesa,153-154,1.036,399458,4606817,Frares,Frares Encantats
Agulla de la Pulgui,474 A,870,402618,4603951,Sant Joan,Magdalenes
Agulla de la Tempestat,257,990,399990,4605859,Faraó,
Agulla de la Verge de Lourdes,s/n,960,399972,4605816,Faraó,
Agulla de l’Albert Iglesias (possible),s/n,545,402640,4603131,Boirafua,
Agulla de l’Arbret,48,1.078,398690,4607163,Saques,Agulles
Agulla de l’Avenc,320,855,400343,4605289,Palomera,Sant Jeroni
Agulla de l’Era dels Pallers,9,781,398513,4606150,Els Pallers,Agulles
Agulla de l’Era dels Pallers,10,777,398490,4606184,Els Pallers,Agulles
Agulla de l’Era dels Pallers,11,782,398517,4606123,Els Pallers,Agulles
Agulla de l’Esquelet,80,988,398683,4606987,Saques,Agulles
Agulla de l’Ocell Mort,322,831,400253,4605291,Palomera,Sant Jeroni
Agulla de Sant Benet,516,1.009,402572,4605339,Monestir o sant Benet,
Agulla de Sant Joan,490,859,402884,4605011,Les Gorres,Magdalenes
Agulla de Santa Cecília,s/n,932,401164,4606947,Serrat del Moro,
Agulla del Arítjol,s/n,837,399543,4605733,Faraó,
Agulla del camí,515,987,402726,4605508,Monestir o sant Benet,
Agulla del Capdamunt,29,1.011,398506,4606977,Saques,Agulles
Agulla del Capdemunt,s/n,960,401807,4604850,La Plantació,Magdalenes
Agulla del Capdevall,463,912,401735,4604863,La Plantació,Magdalenes
Agulla del Castell,s/n,600,399027,4605516,Roca Roja,Ecos
Agulla del coll del Serrat B,s/n,769,401342,4604605,Pollegons,Magdalenes
Agulla del Consol,550,1.065,402157,4605787,Cavall Bernat,Sant Salvador
Agulla del Gat,525-526,1.042,402519,4605340,Monestir o sant Benet,
Agulla del Germà Paulí,497,620,403597,4604774,Santa Cova,Magdalenes
Agulla del Giravolt,8,783,398520,4606102,Els Pallers,Agulles
Agulla del Guarda,s/n,1.005,402563,4605325,Monestir o sant Benet,
Agulla del Jardí,321,850,400318,4605265,Palomera,Sant Jeroni
Agulla del Llapis i  turó,562-563,1.092,402387,4605530,Monestir o sant Benet,
Agulla del Meguí,448,985,401896,4604933,La Plantació,Magdalenes
Agulla del Miracle,234,1.015,399851,4607084,Comes,Ecos
Agulla del Pas del Nap,285,873,399444,4606196,Naps,Ecos
Agulla del Pas dels Micos,287,1.100,400602,4606459,Ecos,Sant Jeroni
Agulla del Pilot,s/n,613,399387,4605123,Palomera,Sant Jeroni
Agulla del Pla dels Ocells,522,986,402165,4605299,Monestir o sant Benet,
Agulla del Rei,158,1.048,399493,4606846,Frares,Frares Encantats
Agulla del riu,s/n,634,403599,4605269,Mullapans,Sant Salvador
Agulla del Saltet,323,837,400234,4605294,Palomera,Sant Jeroni
Agulla del Senglar,s/n,801,399373,4605815,Roca Roja,Ecos
Agulla del Sol Ponent,23,977,398460,4606939,Saques,Agulles
Agulla dels Degotalls,543,800,402604,4606081,Flautats,Sant Salvador
Agulla dels Espeleòlegs,39,1.039,398523,4607081,Saques,Agulles
Agulla dels Flamencs,s/n,870,401104,4605177,Vinya Nova,Magdalenes
Agulla dels Naps de Dalt,271,897,399463,4606208,Naps,Ecos
Agulla dels Ossos,50,1.067,398712,4607166,Saques,Agulles
Agulla dels Pollegons,441,950,401620,4605071,Pollegons,Magdalenes
Agulla dels Retornats,581,840,402681,4605158,Monestir o sant Benet,
Agulla dels Tres o CNT,s/n,886,398405,4606560,Els Pallers,Agulles
Agulla d’en Markus Kamen,591,1.018,402410,4605357,Monestir o sant Benet,
Agulla d’en Passola,124,1.058,399097,4607233,Centenar,Frares Encantats
Agulla d’en Tagore,s/n,1.019,399243,4607014,Centenar,Frares Encantats
Agulla d’en Torres Homet,449,991,401855,4604877,La Plantació,Magdalenes
Agulla Despistada,569,911,402159,4606020,Cavall Bernat,Sant Salvador
Agulla dl Pont Natural de Collbató,s/n,601,402566,4603349,Boirafua,
Agulla Eliseu Climent,s/n,814,402249,4603846,Sant Pere,Magdalenes
Agulla Facil,s/n,1.066,399439,4607073,Frares,Frares Encantats
Agulla Ferran Torrent,s/n,808,402261,4603810,Sant Pere,Magdalenes
Agulla Gran de Pas de Príncep,159,1.053,399496,4606821,Frares,Frares Encantats
Agulla Ignasi Capeta,68,918,398957,4607353,Bola,
Agulla Inclinada,343,1.033,401329,4605934,Albarda,Sant Jeroni
Agulla Isabel Clara Simó,s/n,806,402260,4603827,Sant Pere,Magdalenes
Agulla Janot Martorell,s/n,835,402233,4603908,Sant Pere,Magdalenes
Agulla Jaume Mata,434,986,401895,4604766,La Plantació,Magdalenes
Agulla Joan Fuster,s/n,817,402243,4603855,Sant Pere,Magdalenes
Agulla Jordi Solé Masip (roques finals del serrat dels Pollegons),s/n,756,401255,4604883,Pollegons,Magdalenes
Agulla Lluis Estasen,207,1.209,400446,4606689,Ecos,Sant Jeroni
Agulla Mare,32,955,398599,4606925,Saques,Agulles
Agulla Migpartida,s/n,1.062,401736,4606068,Sant Antoni,Sant Jeroni
Agulla Ovidi Monllor,s/n,805,402260,4603793,Sant Pere,Magdalenes
Agulla Pelada,19-20,949,398412,4606857,Saques,Agulles
Agulla Peluda,28,972,398488,4606975,Saques,Agulles
Agulla Perduda,s/n,906,402109,4605986,Cavall Bernat,Sant Salvador
Agulla Petita,s/n,931,398406,4606830,Saques,Agulles
Agulla Podrida,49,1.045,398667,4607161,Saques,Agulles
Agulla Sens Nom,120,1.060,399077,4607195,Centenar,Frares Encantats
Agulla Vista,235,1.041,399741,4607076,Comes,Ecos
Agulla Xica de la Miranda (Petitona),73,1.084,398883,4607193,Bola,
Agulleta de l’Esglai,s/n,922,401756,4604838,La Plantació,Magdalenes
Agulleta del Serradet de Sant Jeroni,328-329,1.152,401177,4606581,Serrat del Moro,
Agulleta del Serrat del Faraó,290,985,400021,4605875,Faraó,
Agulleta dels dos Forats,s/n,880,402589,4604007,Sant Joan,Magdalenes
Agulleta i Serrat d’en Pujadé,72,765,398817,4607827,Bola,
Alta Tensión,s/n,859,403043,4604972,Santa Cova,Magdalenes
Barretina Gran,566,968,402153,4605965,Cavall Bernat,Sant Salvador
Barretina Petita,567,930,402163,4605984,Cavall Bernat,Sant Salvador
Bauma de Sant Martí,s/n,1.059,402111,4604825,Les Gorres,Magdalenes
Bauma del Penitent,s/n,943,402141,4604242,Sant Pere,Magdalenes
Boleta de Trinitats o Quarta de la Trinitats,538,1.022,402742,4605644,Flautats,Sant Salvador
Boleta dels Plecs,s/n,886,400547,4605730,Montgròs,Sant Jeroni
Bony dels Naps 3,282,851,399380,4606262,Naps,Ecos
Bonys del Nap 2,281,854,399397,4606280,Naps,Ecos
Bonys dels Naps 1,280,869,399437,4606309,Naps,Ecos
Bonys dels Naps 4,283,869,399451,4606307,Naps,Ecos
Bonys dels Naps 5,284,861,399465,4606319,Naps,Ecos
Cadireta dels Flautats,508,1.130,402576,4605677,Flautats,Sant Salvador
Cap de la Llisa,s/n,725,402212,4603536,Boirafua,
Cap del Camell,206,1.186,400621,4606683,Ecos,Sant Jeroni
Cap del Camell,317-318,1.085,400840,4605959,Sant Jeroni,Sant Jeroni
Cap del Gat – Tossal de Mullapans,587,508,403887,4605332,Mullapans,Sant Salvador
Cap d’en Calventus,166,1.002,398985,4606890,Centenar,Frares Encantats
Cara de Mico,415,1.063,402040,4605030,Bellavista,Magdalenes
Carena del Merlet del Pla dels Ocells,521,1.010,402203,4605353,Monestir o sant Benet,
Caseta del guaita,474 C,783,403477,4603938,Serrat dels Monjos,
Cavall dels Brucs,279,862,399361,4606110,Roca Roja,Ecos
Cavall Pinteta,s/n,640,403530,4605353,Mullapans,Sant Salvador
Cinglera de la cota 13,s/n,880,398426,4606529,Els Pallers,Agulles
Contrafort de la Bessona,s/n,1.001,398673,4607053,Saques,Agulles
Contrafort de la Miranda de Santa Magdalena,s/n,1.070,402094,4604585,Les Gorres,Magdalenes
Contrafort de la Momieta,s/n,1.015,402680,4605529,Monestir o sant Benet,
Contrafort de la Prenyada,513,1.056,402511,4605382,Monestir o sant Benet,
Contrafort de la Vista,s/n,933,399769,4607175,Comes,Ecos
Contrafort de l’Anec,s/n,1.052,399098,4607257,Centenar,Frares Encantats
Contrafort de l’Arítjol,729,813,399544,4605714,Faraó,
Contrafort de les Bateries,s/n,725,402577,4603591,Boirafua,
Contrafort del Bé,s/n,924,399829,4607170,Comes,Ecos
Contrafort del Miracle,s/n,931,399867,4607132,Comes,Ecos
Cota – Castell Otger (probable),s/n,587,404293,4603612,Serra Llarga,Magdalenes
Cota 102,102,1.103,399221,4607233,Centenar,Frares Encantats
Cota 103,103,1.101,399195,4607198,Centenar,Frares Encantats
Cota 104 – Agulla Bífida,104,1.101,399201,4607185,Centenar,Frares Encantats
Cota 107,107,1.092,399216,4607190,Centenar,Frares Encantats
Cota 108,108,1.087,399218,4607182,Centenar,Frares Encantats
Cota 109 – Agulla Gis-Taus,109,1.088,399223,4607171,Centenar,Frares Encantats
Cota 175,175,970,398985,4606776,Centenar,Frares Encantats
Cota 178,177-176,1.010,399002,4606852,Centenar,Frares Encantats
Cota 288,288,1.089,400595,4606470,Ecos,Sant Jeroni
Cota 407,407,1.096,402298,4604741,Les Gorres,Magdalenes
Cota 408,408,1.096,402230,4604680,Les Gorres,Magdalenes
Cota 409 (Miranda de Sant Joan o Miranda Xica),409,1.050,402126,4604546,Les Gorres,Magdalenes
Cota 410,410,1.081,402196,4605048,Les Gorres,Magdalenes
Cota 411,411,1.012,402234,4605051,Les Gorres,Magdalenes
Cota 413,413,985,402031,4605256,Les Gorres,Magdalenes
Cota 414,414,1.045,402064,4605025,Bellavista,Magdalenes
Cota 416,416,1.055,402048,4604929,La Plantació,Magdalenes
Cota 417 (Miranda del Sentinella),417,1.042,402005,4604949,La Plantació,Magdalenes
Cota 418,418,1.058,402056,4604900,La Plantació,Magdalenes
Cota 419,419,1.053,402040,4604901,La Plantació,Magdalenes
Cota 420,420,1.058,402010,4604891,La Plantació,Magdalenes
Cota 424A,424A,986,401948,4604782,La Plantació,Magdalenes
Cota 428,428,1.044,401952,4604898,La Plantació,Magdalenes
Cota 429,429,1.000,401886,4604904,La Plantació,Magdalenes
Cota 433,433,985,401909,4604784,La Plantació,Magdalenes
Cota 436 (Roca de Sant Martí),436,918,401849,4604717,La Plantació,Magdalenes
Cota 442 (serrat dels Pollegons),442,935,401568,4605039,Pollegons,Magdalenes
Cota 445 (Agulla Pastoret),445,895,401496,4604986,Pollegons,Magdalenes
Cota 446,446,886,401480,4604983,Pollegons,Magdalenes
Cota 447,447,996,401889,4604919,La Plantació,Magdalenes
Cota 450,450,965,401828,4604900,La Plantació,Magdalenes
Cota 451,451,951,401817,4604914,La Plantació,Magdalenes
Cota 453,450,983,401834,4604869,La Plantació,Magdalenes
Cota 454,455,973,401823,4604877,La Plantació,Magdalenes
Cota 455,455,964,401806,4604880,La Plantació,Magdalenes
Cota 462,462,876,401544,4604944,Pollegons,Magdalenes
Cota 462 A,462A,875,401517,4604895,Pollegons,Magdalenes
Cota 462 B,462 B,820,401319,4604676,Pollegons,Magdalenes
Cota 467 B (Artiga Alta),467B,783,401381,4604464,Pollegons,Magdalenes
Cota 471 (Els Estalvis del Porró),471,910,401734,4604762,La Plantació,Magdalenes
Cota 474,474,892,402589,4603984,Sant Joan,Magdalenes
Cota 474B,474 B,857,402721,4603814,Sant Joan,Magdalenes
Cota 493,493,927,402957,4604966,Santa Cova,Magdalenes
Cota 494,494,876,403029,4605023,Santa Cova,Magdalenes
Cota 495,495,925,402747,4605000,Les Gorres,Magdalenes
Cota 499,499,658,403933,4603956,Serra Llarga,Magdalenes
Cota 499 D,499 D,630,404160,4603853,Serra Llarga,Magdalenes
Cota 499 E,499 E,635,404160,4603864,Serra Llarga,Magdalenes
Cota 499 F,499 F,613,404229,4603822,Serra Llarga,Magdalenes
Cota 499 G – Serrat de les Garrigoses,499 G,766,402751,4603433,Boirafua,
Cota 499 I – Serrat de les Garrigoses,499 I,770,402897,4603279,Boirafua,
Cota 499C – Cap de les Canals,499 C,625,404093,4603973,Serra Llarga,Magdalenes
Cota 517,517,1.064,402325,4605439,Monestir o sant Benet,
Cota 518,518,1.066,402294,4605391,Monestir o sant Benet,
Cota 519,519,1.036,402277,4605339,Monestir o sant Benet,
Cota 540,540,995,402746,4605671,Flautats,Sant Salvador
Cota 541,541,1.003,402746,4605661,Flautats,Sant Salvador
Cota 558,558,1.044,402547,4605719,Flautats,Sant Salvador
Cota 559,559,1.021,402535,4605736,Flautats,Sant Salvador
Cota 568,568,912,402154,4606005,Cavall Bernat,Sant Salvador
Cota 571,571,905,402143,4606010,Cavall Bernat,Sant Salvador
Cota 572,572,908,402152,4606013,Cavall Bernat,Sant Salvador
Cota 574,574,1.058,402163,4605761,Cavall Bernat,Sant Salvador
Cota 590,s/n,661,403509,4605355,Mullapans,Sant Salvador
Cota 88,88,1.021,398755,4607104,Bola,
Cota 89,89,970,398753,4606989,Bola,
Cresta Plana,177-176,958,398973,4606684,Centenar,Frares Encantats
Creu de la Bauma del Penitent,s/n,939,402107,4604215,Sant Pere,Magdalenes
Eco central,246,1.180,400452,4606551,Ecos,Sant Jeroni
Eco del Mig,202,1.223,400521,4606545,Ecos,Sant Jeroni
Eco Occidental,245,1.200,400468,4606564,Ecos,Sant Jeroni
Eco petit,244,1.174,400450,4606553,Ecos,Sant Jeroni
El Barret,143,1.075,399439,4607099,Frares,Frares Encantats
El Barretet,456,972,401790,4604885,La Plantació,Magdalenes
El Bestiari Musical,s/n,684,402144,4603501,Boirafua,
El Bisbe,136,1.123,399366,4607291,Frares,Frares Encantats
el Bitllot,162,988,399435,4606681,Mranda del Príncep,
El Boletet,s/n,871,399381,4606005,Roca Roja,Ecos
El Braguer,336,1.120,4011205,4606083,Albarda,Sant Jeroni
El Broc del Setrill,91,1.000,398858,4606974,Bola,
El Càntir,335,1.068,401125,4606021,Albarda,Sant Jeroni
El Cap de Guerrer,60,974,398770,4606901,Bola,
El Caputxó d’en Semir,126,1.044,399150,4607212,Centenar,Frares Encantats
El Carbassó,42,1.032,398585,4607081,Saques,Agulles
El Cargolet,s/n,881,403021,4604974,Santa Cova,Magdalenes
El Carquinyoli,192,1.082,399206,4607238,Centenar,Frares Encantats
El Cavall Bernat,548,1.111,401892,4606112,Cavall Bernat,Sant Salvador
El Cigronet,344,1.065,401501,4605985,Albarda,Sant Jeroni
el Cilindre,239,1.096,400155,460636,Naps,Ecos
el Cor de Be,267,1.025,399781,4607093,Comes,Ecos
El Dàtil,43,999,398614,4607064,Saques,Agulles
El Dau d’Agulles,16,899,398386,4606594,Els Pallers,Agulles
El Dit,140,1.061,399380,4607087,Frares,Frares Encantats
El Dit xic,141,1.051,399362,4607082,Frares,Frares Encantats
El Ditet,179,1.040,399396,4607054,Frares,Frares Encantats
El Faraó o Roca del Mig,258,947,399883,4605751,Faraó,
El Faraonet,s/n,872,399857,4605678,Faraó,
El Fesolet,504,1.129,402507,4605611,Flautats,Sant Salvador
El Frare Gros,146,1.144,399501,4607190,Frares,Frares Encantats
El Gallaret,67,990,398967,4607330,Bola,
El Gat,s/n,763,402858,4603318,Boirafua,
El Gat Petit,s/n,1.041,402512,4605352,Monestir o sant Benet,
El Gegant Encantat,303,1.175,400897,4606404,Sant Jeroni,Sant Jeroni
El Gendarme,125,1.050,399116,4607245,Centenar,Frares Encantats
El Gendre,s/n,820,401762,4604590,La Plantació,Magdalenes
El Gep Llarg,26,978,398503,4606926,Saques,Agulles
El Gerro,1,711,398480,4605809,Els Pallers,Agulles
El Llençol,s/n,670,402139,4603466,Boirafua,
el Lloro,139,1.130,399402,4607242,Frares,Frares Encantats
El Martell,35,1.018,398558,4607048,Saques,Agulles
El Melindro,s/n,1.080,399269,4607256,Centenar,Frares Encantats
El Merlet de la Torta,76,1.035,398951,4607186,Bola,
El Montcau (Roca del Moro),331,1.206,401315,4606437,Sant Antoni,Sant Jeroni
El Morro Pla,129-112,1.088,399184,4607142,Centenar,Frares Encantats
El Musclet,274,886,399366,4605929,Roca Roja,Ecos
El Nas,184,1.067,399559,4606993,Frares,Frares Encantats
El Novici,183,1.047,399593,4607128,Frares,Frares Encantats
El Pallaso,487,632,403510,4604932,Santa Cova,Magdalenes
El Patufet,215,1.168,400452,4606329,Montgròs,Sant Jeroni
El Pebrot,533,1.069,402666,4605636,Flautats,Sant Salvador
El Pepino,171,1.046,399465,4606847,Frares,Frares Encantats
El Periquito,s/n,999,398858,4607087,Bola,
El Pinetell  (possible),s/n,576,402639,4603164,Boirafua,
El Pingüí,79,1.002,398685,4607038,Saques,Agulles
El Pito del Sereno,535,1.006,402721,4605616,Flautats,Sant Salvador
El Projectil,570,919,402166,4606035,Cavall Bernat,Sant Salvador
El Puntxonet,s/n,860,402984,4604116,Sant Miquel,Magdalenes
El Punyalet,s/n,970,398493,4606998,Saques,Agulles
El Queixal,131,1.060,399147,4607176,Centenar,Frares Encantats
El Rave,439,934,401782,4605057,Bellavista,Magdalenes
El Sabre,s/n,972,398480,4606981,Saques,Agulles
El Senatxo,33,1.008,398509,4607026,Saques,Agulles
El Sentinella,437,1.007,401943,4605066,Bellavista,Magdalenes
El Sentinelleta,s/n,1.106,400958,4606294,Sant Jeroni,Sant Jeroni
El Sereno,534,1.036,402695,4605626,Flautats,Sant Salvador
El Setrill,85,1.016,398859,4607002,Bola,
El Talp,170,1.064,399353,4607159,Frares,Frares Encantats
El Timbaler del Bruc,2,742,398562,4605807,Els Pallers,Agulles
El Tub de la Patata,172a,1.041,399380,4607143,Frares,Frares Encantats
Els Ecos (204),204,1.209,400489,4606560,Ecos,Sant Jeroni
Els Frares Encantats – El Frare Amadeu,150,1.088,399569,4607143,Frares,Frares Encantats
Els Frares Encantats – El Frare Cirili,147-148-149,1.125,399552,4607141,Frares,Frares Encantats
Els Merlets,24-25,970,398484,4606930,Saques,Agulles
Els Ous del Faraó,289,940,399927,4605786,Faraó,
Ermita de Santa Caterina,s/n,977,402190,4604474,Sant Pere,Magdalenes
Espatlla de la Vista,s/n,1.014,399705,4607139,Comes,Ecos
Esperó d’en Richard,s/n,891,403016,4604988,Santa Cova,Magdalenes
Fals Ou,s/n,870,401832,4604657,La Plantació,Magdalenes
Fals Punxó,s/n,830,401743,4604645,La Plantació,Magdalenes
Flautats – 505,505,1.130,402527,4605648,Flautats,Sant Salvador
Flautats – 506,506,1.130,402541,4605658,Flautats,Sant Salvador
Flautats – 507,507,1.135,402547,4605669,Flautats,Sant Salvador
Ganivet dels Diables,360,982,401711,4606399,Sant Antoni,Sant Jeroni
Gepa del Camell,205,1.204,400600,4606607,Ecos,Sant Jeroni
La Bandereta o Agulla Ven-Suri-Ven,37,1.032,398508,4607065,Saques,Agulles
La Barretina de Patriarques,356,1.111,401495,4606174,Sant Antoni,Sant Jeroni
La Bessona Inferior,47,1.056,398708,4607092,Saques,Agulles
La Bessona Superior,46,1.057,398685,4607084,Saques,Agulles
La Bitlla,58,1.016,398779,4607001,Bola,
La Bola de la Partió,57,1.038,398783,4607033,Bola,
La Boleta del Portell Estret,123,1.045,399065,4607256,Centenar,Frares Encantats
La Boleta Foradada,105,1.080,399260,4607258,Centenar,Frares Encantats
La Boteruda,27,983,398519,4606937,Saques,Agulles
La Boteruda del Gra,53,1.086,398808,4607197,Bola,
La Cadireta o Roca del Centellar,70,899,398890,4607482,Bola,
La Cajoleta,s/n,906,400496,4605633,Montgròs,Sant Jeroni
La Campana,438,957,401802,4605096,Bellavista,Magdalenes
La Caputxa o Agulla Vicenç Barbé,132,1.037,399064,4607087,Centenar,Frares Encantats
La Carota,536,1.046,402700,4605653,Flautats,Sant Salvador
